File:        06perms.txt
Description: CSV file of upload permission to the CPAN per namespace
    best-permission is one of "m" for "modulelist", "f" for
    "first-come", "c" for "co-maint"
AI::Categorizer::Hypothesis,KWILLIAMS,f
AI::Categorizer::KnowledgeSet,KWILLIAMS,f
AI::Categorizer::Learner,KWILLIAMS,f
AI::Categorizer::Learner::Boolean,KWILLIAMS,f
AI::Categorizer::Learner::DecisionTree,KWILLIAMS,f
AI::Categorizer::Learner::Guesser,KWILLIAMS,f
AI::Categorizer::Learner::KNN,KWILLIAMS,f
AI::Categorizer::Learner::KNN::Queue,KWILLIAMS,f
AI::Categorizer::Learner::NNetTC,KWILLIAMS,f
AI::Categorizer::Learner::NaiveBayes,KWILLIAMS,f
AI::Categorizer::Learner::Rocchio,KWILLIAMS,f
AI::Categorizer::Learner::SVM,KWILLIAMS,f
AI::Categorizer::Learner::Weka,KWILLIAMS,f
AI::Categorizer::ObjectSet,KWILLIAMS,f
AI::Categorizer::Storable,KWILLIAMS,f
AI::Categorizer::Util,KWILLIAMS,f
AI::DecisionTree,KWILLIAMS,f
AI::DecisionTree::Instance,KWILLIAMS,f
AI::Evolve::Befunge,INFINOID,f
AI::Evolve::Befunge::Blueprint,INFINOID,f
AI::Evolve::Befunge::Board,INFINOID,f
AI::Evolve::Befunge::Critter,INFINOID,f
AI::Evolve::Befunge::Critter::Result,INFINOID,f
AI::Evolve::Befunge::Migrator,INFINOID,f
AI::Evolve::Befunge::Physics,INFINOID,f
AI::Evolve::Befunge::Physics::othello,INFINOID,f
AI::Evolve::Befunge::Physics::ttt,INFINOID,f
AI::Evolve::Befunge::Population,INFINOID,f
AI::Evolve::Befunge::Util,INFINOID,f
AI::Evolve::Befunge::Util::Config,INFINOID,f
AI::ExpertSystem::Advanced,PFISCHER,f
AI::ExpertSystem::Advanced::Dictionary,PFISCHER,f
AI::ExpertSystem::Advanced::KnowledgeDB::Base,PFISCHER,f
AI::ExpertSystem::Advanced::KnowledgeDB::Factory,PFISCHER,f
